business_id,name,category_id,category,address,latitude,longitude,tel,rating
5f00bbbb68b9341b7c00cc7a,Campino Sinsen,13064,Pizzeria,"Hans Nielsen Hauges gate 37, 0481 Oslo",59.938601,10.780375,414 91 111,
4de8f1fe1838b9ad8d1aec98,Villaria Pizza,13064,Pizzeria,"Sinsenterrassen 14, 0574 Oslo",59.933771,10.781978,22 22 51 51,
516ed01d498ea3466f767621,Pizza Pancetta Grefsen,13032,"Cafe, Coffee, and Tea House","Grefsenveien 6, 0482 Oslo",59.941671,10.771376,22 22 27 70,
4c9a395da004a1cd1e77466e,Skeidkiosken,13145,Fast Food Restaurant,"Kjelsåsveien, Oslo",59.943596,10.78711,,
609578a5cecd5a0479ee47e3,New Winny Kebab,13288,Kebab Restaurant,"57 Grefsenveien, 0487 Oslo",59.945321,10.780569,,
529f58cd498e061b3dc0cf31,Lili China,13072,Asian Restaurant,,59.931136,10.777989,,
087bd77c96274bdc8931d19c,Enrique Rota Coma Bella Napoli,13065,Restaurant,"Borger Withsgate 29-1, 0482 Oslo",59.940916,10.777454,22 22 16 88,
c096707da72c46dccfc096b3,Mona Blix,13065,Restaurant,"Kyrre Grepps gate 32, 0479 Oslo",59.936794,10.774624,22 22 49 30,
70709d1e37344fab2edd4b0b,Par Event,13065,Restaurant,"Nydalen Allé 37A, 0480 Oslo",59.939226,10.773206,924 12 141,
1e981a4c826046c726e64f9a,Wokmakeren DA,13065,Restaurant,"Amtmann Meinichs gate 17, 0482 Oslo",59.941405,10.774164,22 20 09 28,
3389cfab60c34296dd5256ba,Cafe Cortado & Bar Hossain Akoudad,10024,Movie Theater,"Grefsenveien 6, 0482 Oslo",59.941727,10.771543,22 89 05 60,
89c1030de0dc4d27472b6103,Ny Skeid Pizza Og Grill,13145,Fast Food Restaurant,"Kjelsåsveien 9, 0488 Oslo",59.943438,10.786198,22 22 20 01,
49dfda749f6f42d9d4c73834,Kjelsås Pizza & Kebab Mina Samani,13145,Fast Food Restaurant,"Kjelsasveien 9, 0488 Oslo",59.943477,10.786134,22 22 20 01,
c950aa7610514e0c6b946f07,Vecchia Roma Jazar,13065,Restaurant,"Grefsenveien 26, 0774 Oslo",59.943216,10.773775,462 32 939,
4664a49b185347a3a4dc8245,Bit It,13065,Restaurant,"Sandakerveien 64, 0484 Oslo",59.941658,10.770092,21 39 27 52,
cea0896f14874388367c61d0,Sameiet Stabekk-tunet Bygg Iv,13065,Restaurant,"Sandakerveien 64, 0484 Oslo",59.941536,10.769642,67 57 40 00,
3b82a13685194460d4026fd7,Foeniks Limited,13065,Restaurant,"Vossegata 46 A, 0475 Oslo",59.933723,10.771227,901 23 105,
450388929e1343f6e0bbcbb4,Lille Spiseri,13065,Restaurant,"Treschows gate 4, 0477 Oslo",59.940414,10.767063,976 05 101,
079f7161d157458f3c62bbe1,The Frogner Social Tapas & Cocktail,13065,Restaurant,"Sinsenveien 51, 0585 Oslo",59.933859,10.790443,482 21 448,
938479e6c9ea45521dbd5aea,Oslo Lunsj,13065,Restaurant,"Per Kvibergs gate 14, 0478 Oslo",59.934777,10.768437,979 39 836,
99fe264b8729481b16496258,Cene,13065,Restaurant,"Per Kvibergs gate 14, 0478 Oslo",59.934777,10.768437,22 38 44 30,
59b1c0e34f0e5866b60aa5b2,Øst,13022,Sports Bar,"Innspurten 12E, 0663 Oslo",59.918253,10.804649,464 24 737,7.1
4c7be2c2bd346dcbc07ffcef,Hasle Pizza Bar,13064,Pizzeria,"Grenseveien 50, Oslo",59.923635,10.792619,,
53fb607b498e5d7c6cec1c62,Domino's Pizza,13064,Pizzeria,"Lørenveien 50, 0585 Oslo",59.930039,10.795459,03330,6.3
